,Year,Geo_Code,Force_Name,Deployed_Amount,Crime_Amount
369,2019,E23000034,city-of-london,1280,9356
370,2019,E23000036,avon-and-somerset,6320,157141
371,2019,E23000037,gloucestershire,2418,54082
372,2019,E23000038,wiltshire,2523,60433
373,2019,E23000039,dorset,2873,71155
374,2019,W15000001,north-wales,3061,72412
375,2019,W15000002,gwent,2198,59674
376,2019,W15000003,south-wales,5782,138838
377,2019,W15000004,dyfed-powys,2190,41096
378,2020,E23000001,metropolitan,46797,1176294
379,2020,E23000002,cumbria,2178,43535
380,2020,E23000003,lancashire,6106,215683
381,2020,E23000004,merseyside,6362,173437
382,2020,E23000006,cheshire,4193,105861
383,2020,E23000007,northumbria,5381,200151
384,2020,E23000008,durham,2335,80793
385,2020,E23000009,north-yorkshire,3227,71384
386,2020,E23000010,west-yorkshire,10601,306779
387,2020,E23000011,south-yorkshire,5372,167555
388,2020,E23000012,humberside,3776,100781
389,2020,E23000013,cleveland,2148,97827
390,2020,E23000014,west-midlands,11338,322797
391,2020,E23000015,staffordshire,3518,98924
392,2020,E23000016,west-mercia,4532,104676
393,2020,E23000017,warwickshire,2093,54927
394,2020,E23000018,derbyshire,3894,118984
395,2020,E23000019,nottinghamshire,3903,135729
396,2020,E23000020,lincolnshire,1919,73020
397,2020,E23000021,leicestershire,4196,94575
398,2020,E23000022,northamptonshire,2647,86543
399,2020,E23000023,cambridgeshire,2851,77646
400,2020,E23000024,norfolk,3379,78396
401,2020,E23000025,suffolk,2588,61138
402,2020,E23000026,bedfordshire,2565,63913
403,2020,E23000027,hertfordshire,4425,102893
404,2020,E23000028,essex,6461,208082
405,2020,E23000029,thames-valley,9067,178278
406,2020,E23000030,hampshire,5406,176708
407,2020,E23000031,surrey,4059,97757
408,2020,E23000032,kent,7250,216547
409,2020,E23000033,sussex,5756,160850
410,2020,E23000034,city-of-london,1314,5380
411,2020,E23000036,avon-and-somerset,6473,152544
412,2020,E23000037,gloucestershire,2651,60305
413,2020,E23000038,wiltshire,2523,52442
414,2020,E23000039,dorset,2971,73106
415,2020,W15000001,north-wales,3012,70665
416,2020,W15000002,gwent,2281,67301
417,2020,W15000003,south-wales,6025,147978
418,2020,W15000004,dyfed-powys,2212,45292
