Year,Section,Population,Deployed_Amount,Crime_Amount,Crime_Rate
2015,northumbria,1463731,5684,155792,0.10643485722444902
2015,nottinghamshire,1179761,4123,109685,0.09297222064468989
2015,south-wales,1498696,5345,124647,0.08317030271649488
2015,south-yorkshire,1470777,5553,175469,0.11930360618910957
2015,staffordshire,1213613,3696,93090,0.07670484742665083
2015,suffolk,891929,2511,59943,0.06720602200399359
2015,surrey,1649968,3970,90983,0.055142281547278495
2015,sussex,1765152,5646,138065,0.07821706006055003
2015,thames-valley,2360094,8583,153240,0.06492961721016197
2015,warwickshire,669883,1797,46193,0.06895681783236775
2015,west-mercia,1380056,4169,112326,0.0813923492959706
2015,west-midlands,2889408,11709,242553,0.08394556947305469
2015,west-yorkshire,2340623,9596,257577,0.11004634236269574
2015,wiltshire,755277,2281,54971,0.07278256851459795
2016,avon-and-somerset,1950534,5723,145571,0.07463135736162507
2016,bedfordshire,782571,2267,64984,0.08303911082828268
2016,cambridgeshire,939363,2629,78615,0.08368969184436688
2016,cheshire,1096638,4006,89168,0.08131033212418319
2016,city-of-london,48316,1200,6332,0.13105389518999916
2016,cleveland,569825,1726,93723,0.1644768130566402
2016,cumbria,506466,1979,38336,0.07569313636058492
2016,derbyshire,1536276,3520,95401,0.06209886765138556
2016,dorset,818701,2623,66151,0.08079995016495643
2016,durham,792174,2274,63109,0.07966557852189039
2016,dyfed-powys,579267,2120,38254,0.06603863158094626
2016,essex,2111239,5622,170522,0.08076868606538624
2016,gloucestershire,680990,2097,52970,0.07778381474030456
2016,greater-manchester,2814985,11696,362115,0.12863834087925868
2016,gwent,990791,2105,62033,0.06260957154435194
2016,hampshire,2236189,5539,185162,0.08280248225887883
2016,hertfordshire,1218339,3822,102752,0.08433777462594565
2016,humberside,954040,3489,91906,0.09633348706553184
2016,kent,1901296,6015,169790,0.08930224436384446
2016,lancashire,1634250,5574,175870,0.10761511396665137
2016,leicestershire,1244111,3825,83686,0.067265702176092
2016,lincolnshire,799745,1753,55516,0.06941712670913854
2016,merseyside,1471649,6115,159851,0.10862032998357625
2016,norfolk,1198816,3150,69098,0.05763853668953367
2016,north-wales,710033,2898,58911,0.08296938311317925
2016,north-yorkshire,1038208,2786,66367,0.06392457002835655
2016,northamptonshire,1231047,2939,87985,0.07147168223471566
2016,northumbria,1473944,5385,180630,0.12254875354830305
2016,nottinghamshire,1600421,3762,114819,0.07174299762375025
2016,south-wales,1491364,5207,130823,0.08772036873627095
2016,south-yorkshire,1490345,5154,184666,0.12390822259275537
2016,staffordshire,1223091,3578,105306,0.08609825434084627
2016,suffolk,1079262,2391,57395,0.05317985808821213
2016,surrey,1581199,3922,85250,0.05391478238981937
2016,sussex,1819593,5419,140169,0.07703316071231314
2016,thames-valley,2383782,8312,159973,0.06710890509283148
2016,warwickshire,655518,1758,52099,0.07947760397121055
2016,west-mercia,1369178,4312,120770,0.08820620839657078
2016,west-midlands,2956529,11313,259860,0.08789360767305174
2016,west-yorkshire,2385364,9562,290240,0.12167535017716374
2016,wiltshire,767030,2219,57216,0.0745942140463867
2017,avon-and-somerset,2090948,5736,158494,0.07580006772047894
2017,bedfordshire,813567,2289,65948,0.08106031832657913
2017,cambridgeshire,960975,2587,87168,0.09070787481464138
2017,cheshire,1103124,4074,105572,0.09570274964555209
2017,city-of-london,69538,1181,6934,0.09971526359688228
2017,cleveland,576556,1803,98325,0.1705385079680031
2017,cumbria,517496,1961,38901,0.07517159552924081
2017,derbyshire,1699623,3543,96198,0.05659961061953151
2017,dorset,822176,2805,73560,0.08946989452380026
2017,durham,980903,2278,80049,0.0816074576181335
2017,dyfed-powys,600703,2174,40637,0.06764907117161059
2017,essex,2218505,5501,181820,0.08195609205298163
2017,gloucestershire,685304,2061,55923,0.08160320091521427
2017,greater-manchester,2826675,11349,411894,0.14571678739154661
2017,gwent,1065215,1988,57889,0.05434489750895359
2017,hampshire,4085692,5632,204048,0.04994209059322142
2017,hertfordshire,1342120,3793,118283,0.08813146365451674
2017,humberside,959009,3429,101066,0.10538587229108382
2017,kent,1992875,6174,205723,0.10322925421815217
2017,lancashire,1722779,5563,189873,0.11021320784616019
2017,leicestershire,1277361,3807,96571,0.07560196373617169
2017,lincolnshire,814060,1709,60300,0.07407316414023536
2017,merseyside,1472442,5965,171056,0.11617163867914662
2017,norfolk,1219217,3147,73537,0.0603149398343363
2017,north-wales,713467,2842,64089,0.08982756034967279
2017,north-yorkshire,1008648,2843,67072,0.06649693451035446
2017,northamptonshire,1060617,2618,81071,0.07643758302950075
2017,northumbria,1476515,5291,209593,0.1419511484813903
2017,nottinghamshire,1905169,3477,127822,0.06709221071726446
2017,south-wales,1482493,5283,140710,0.09491444478995853
2017,south-yorkshire,1532580,5129,201846,0.1317034021062522
2017,staffordshire,1223825,3506,110262,0.09009621473658407
2017,suffolk,1174540,2363,62976,0.05361758645937984
2017,surrey,1547740,3958,95197,0.06150710067582411
2017,sussex,1939972,5176,151052,0.077862979465683
2017,thames-valley,2396169,8149,169584,0.07077297135552627
2017,warwickshire,747079,1823,57776,0.07733586407863158
2017,west-mercia,1491045,4425,129127,0.08660167868843663
2017,west-midlands,3091579,10893,284897,0.0921525861056761
2017,west-yorkshire,2378219,9629,306165,0.12873709275722714
2017,wiltshire,783201,2221,60982,0.0778625154972989
2018,avon-and-somerset,2088665,6206,155874,0.07462853066432386
2018,bedfordshire,986979,2427,72632,0.07359021823159358
2018,cambridgeshire,1162569,2735,78354,0.06739728996730517
2018,cheshire,1245617,4137,104232,0.08367901208798531
2018,city-of-london,110434,1244,7943,0.0719253128565478
2018,cleveland,575624,1849,101029,0.1755121398690812
2018,cumbria,548995,2052,44970,0.0819133143289101
2018,derbyshire,1820428,3695,96704,0.05312157360796472
2018,dorset,825006,2950,74714,0.09056176561140161
2018,durham,969768,2392,80379,0.08288477244041874
2018,dyfed-powys,634130,2211,40402,0.06371248797565168
2018,essex,2355631,5903,199743,0.08479384080104227
2018,gloucestershire,702654,2258,52977,0.07539557164692723
2018,greater-manchester,2846392,11237,393161,0.13812609085466795
2018,gwent,1165612,2085,59798,0.05130180540351335
2018,hampshire,2297034,6086,175700,0.07648994311795124
2018,hertfordshire,1783076,4153,111248,0.062391059046277335
2018,humberside,944726,3662,107268,0.1135440328730235
2018,kent,2077619,6746,214142,0.10307087103073277
2018,lancashire,1877658,6000,206711,0.11008980336142152
2018,leicestershire,1296167,4117,101626,0.07840502034074313
2018,lincolnshire,838134,2003,66283,0.07908401281895258
2018,merseyside,1474853,5980,167756,0.11374421722029246
2018,norfolk,1242279,3207,72897,0.05868005496349854
2018,north-wales,715320,3095,69756,0.09751719510149304
2018,north-yorkshire,988560,3183,69687,0.07049344501092498
2018,northamptonshire,1139443,2618,80189,0.07037561334792526
2018,northumbria,1483956,5311,216427,0.14584462072999468
2018,nottinghamshire,1776619,3742,135798,0.07643619706870185
2018,south-wales,1552272,5737,138387,0.08915125699619654
2018,south-yorkshire,1639580,5297,179673,0.10958477170982812
2018,staffordshire,1225556,3608,109154,0.0890648815721191
2018,suffolk,1187035,2501,62432,0.05259491084930099
2018,surrey,1561230,4129,94522,0.06054328958577532
2018,sussex,2039292,5170,145600,0.0713973280922987
2018,thames-valley,2427563,8662,174898,0.07204673987863548
2018,warwickshire,940041,1856,55683,0.05923465040354623
2018,west-mercia,1773742,4287,127595,0.07193549005435965
2018,west-midlands,3157686,11138,296988,0.09405241686475475
2018,west-yorkshire,2389094,10163,333530,0.13960522273296908
2018,wiltshire,824701,2472,58895,0.07141376086605934
2019,avon-and-somerset,2109387,6320,157141,0.07449605027432141
