,Year,Geo_Code,Force_Name,Deployed_Amount
240,2015,E23000026,Bedfordshire,2386
241,2015,E23000027,Hertfordshire,3867
242,2015,E23000028,Essex,5822
243,2015,E23000029,Thames Valley,8583
244,2015,E23000030,Hampshire,5728
245,2015,E23000031,Surrey,3970
246,2015,E23000032,Kent,6117
247,2015,E23000033,Sussex,5646
248,2015,E23000034,"London, City of",1239
249,2015,E23000035,Devon & Cornwall,5979
250,2015,E23000036,Avon & Somerset,5812
251,2015,E23000037,Gloucestershire,2130
252,2015,E23000038,Wiltshire,2281
253,2015,E23000039,Dorset,2743
254,2015,W15000001,North Wales,2849
255,2015,W15000002,Gwent,2272
256,2015,W15000003,South Wales,5345
257,2015,W15000004,Dyfed-Powys,2077
258,2016,E23000001,Metropolitan Police,48417
259,2016,E23000002,Cumbria,1979
260,2016,E23000003,Lancashire,5574
261,2016,E23000004,Merseyside,6115
262,2016,E23000005,Greater Manchester,11696
263,2016,E23000006,Cheshire,4006
264,2016,E23000007,Northumbria,5385
265,2016,E23000008,Durham,2274
266,2016,E23000009,North Yorkshire,2786
267,2016,E23000010,West Yorkshire,9562
268,2016,E23000011,South Yorkshire,5154
269,2016,E23000012,Humberside,3489
270,2016,E23000013,Cleveland,1726
271,2016,E23000014,West Midlands,11313
272,2016,E23000015,Staffordshire,3578
273,2016,E23000016,West Mercia,4312
274,2016,E23000017,Warwickshire,1758
275,2016,E23000018,Derbyshire,3520
276,2016,E23000019,Nottinghamshire,3762
277,2016,E23000020,Lincolnshire,1753
278,2016,E23000021,Leicestershire,3825
279,2016,E23000022,Northamptonshire,2939
280,2016,E23000023,Cambridgeshire,2629
281,2016,E23000024,Norfolk,3150
282,2016,E23000025,Suffolk,2391
283,2016,E23000026,Bedfordshire,2267
284,2016,E23000027,Hertfordshire,3822
285,2016,E23000028,Essex,5622
286,2016,E23000029,Thames Valley,8312
287,2016,E23000030,Hampshire,5539
288,2016,E23000031,Surrey,3922
289,2016,E23000032,Kent,6015
290,2016,E23000033,Sussex,5419
291,2016,E23000034,"London, City of",1200
292,2016,E23000035,Devon & Cornwall,5767
293,2016,E23000036,Avon & Somerset,5723
294,2016,E23000037,Gloucestershire,2097
295,2016,E23000038,Wiltshire,2219
296,2016,E23000039,Dorset,2623
297,2016,W15000001,North Wales,2898
298,2016,W15000002,Gwent,2105
299,2016,W15000003,South Wales,5207
300,2016,W15000004,Dyfed-Powys,2120
301,2017,E23000001,Metropolitan Police,45762
302,2017,E23000002,Cumbria,1961
303,2017,E23000003,Lancashire,5563
304,2017,E23000004,Merseyside,5965
305,2017,E23000005,Greater Manchester,11349
306,2017,E23000006,Cheshire,4074
307,2017,E23000007,Northumbria,5291
308,2017,E23000008,Durham,2278
309,2017,E23000009,North Yorkshire,2843
310,2017,E23000010,West Yorkshire,9629
311,2017,E23000011,South Yorkshire,5129
312,2017,E23000012,Humberside,3429
313,2017,E23000013,Cleveland,1803
314,2017,E23000014,West Midlands,10893
315,2017,E23000015,Staffordshire,3506
316,2017,E23000016,West Mercia,4425
317,2017,E23000017,Warwickshire,1823
318,2017,E23000018,Derbyshire,3543
