Year,Month,Section,Amount
2011,6,north-yorkshire,6679
2011,6,northamptonshire,7879
2011,6,northumbria,14422
2011,6,nottinghamshire,12278
2011,6,south-wales,13409
2011,6,south-yorkshire,17102
2011,6,staffordshire,7477
2011,6,suffolk,7309
2011,6,surrey,9670
2011,6,sussex,17378
2011,6,thames-valley,17704
2011,6,warwickshire,4818
2011,6,west-mercia,10849
2011,6,west-midlands,29037
2011,6,west-yorkshire,26581
2011,6,wiltshire,5247
2011,7,avon-and-somerset,16987
2011,7,bedfordshire,6694
2011,7,btp,1712
2011,7,cambridgeshire,7941
2011,7,cheshire,8894
2011,7,city-of-london,787
2011,7,cleveland,8639
2011,7,cumbria,5055
2011,7,derbyshire,11358
2011,7,devon-and-cornwall,13414
2011,7,dorset,8335
2011,7,durham,7159
2011,7,dyfed-powys,4641
2011,7,essex,15256
2011,7,gloucestershire,5960
2011,7,greater-manchester,31621
2011,7,gwent,7697
2011,7,hampshire,19922
2011,7,hertfordshire,10251
2011,7,humberside,9330
2011,7,kent,15891
2011,7,lancashire,19081
2011,7,leicestershire,8871
2011,7,lincolnshire,6837
2011,7,merseyside,13854
2011,7,metropolitan,112224
2011,7,norfolk,8120
2011,7,north-wales,6760
2011,7,north-yorkshire,6476
2011,7,northamptonshire,8009
2011,7,northumbria,15810
2011,7,nottinghamshire,12714
2011,7,south-wales,14655
2011,7,south-yorkshire,18179
2011,7,staffordshire,7499
2011,7,suffolk,7806
2011,7,surrey,10225
2011,7,sussex,18606
2011,7,thames-valley,19020
2011,7,warwickshire,5151
2011,7,west-mercia,12388
2011,7,west-midlands,29893
2011,7,west-yorkshire,27937
2011,7,wiltshire,5927
2011,8,avon-and-somerset,16287
2011,8,bedfordshire,6392
2011,8,btp,1681
2011,8,cambridgeshire,7630
2011,8,cheshire,8549
2011,8,city-of-london,708
2011,8,cleveland,8539
2011,8,cumbria,4817
2011,8,derbyshire,10937
2011,8,devon-and-cornwall,13251
2011,8,dorset,7894
2011,8,durham,6698
2011,8,dyfed-powys,4583
2011,8,essex,15113
2011,8,gloucestershire,5798
2011,8,greater-manchester,30901
2011,8,gwent,7419
2011,8,hampshire,19351
2011,8,hertfordshire,9645
2011,8,humberside,9148
2011,8,kent,15770
2011,8,lancashire,19263
2011,8,leicestershire,8795
2011,8,lincolnshire,6692
2011,8,merseyside,14136
2011,8,metropolitan,108945
2011,8,norfolk,7969
2011,8,north-wales,6921
2011,8,north-yorkshire,5855
2011,8,northamptonshire,8159
2011,8,northumbria,14667
2011,8,nottinghamshire,12652
2011,8,south-wales,14409
2011,8,south-yorkshire,17729
2011,8,staffordshire,7981
2011,8,suffolk,7568
2011,8,surrey,9679
2011,8,sussex,18106
2011,8,thames-valley,17970
2011,8,warwickshire,4802
2011,8,west-mercia,12108
2011,8,west-midlands,28573
2011,8,west-yorkshire,27932
2011,8,wiltshire,5912
2011,9,avon-and-somerset,15063
2011,9,bedfordshire,5996
2011,9,btp,4468
2011,9,cambridgeshire,6942
2011,9,cheshire,8312
2011,9,city-of-london,722
2011,9,cleveland,8165
2011,9,cumbria,4326
2011,9,derbyshire,10040
2011,9,devon-and-cornwall,11381
2011,9,dorset,6691
2011,9,durham,6280
2011,9,dyfed-powys,3644
2011,9,essex,12990
2011,9,gloucestershire,5196
2011,9,greater-manchester,28342
2011,9,gwent,6210
2011,9,hampshire,17486
2011,9,hertfordshire,9189
2011,9,humberside,8458
2011,9,kent,13690
2011,9,lancashire,16250
2011,9,leicestershire,8439
2011,9,lincolnshire,6308
2011,9,merseyside,11627
2011,9,metropolitan,91264
2011,9,norfolk,6801
2011,9,north-wales,5877
2011,9,north-yorkshire,6404
2011,9,northamptonshire,7183
2011,9,northern-ireland,13667
2011,9,northumbria,13694
2011,9,nottinghamshire,11369
2011,9,south-wales,11875
2011,9,south-yorkshire,17590
2011,9,staffordshire,7664
2011,9,suffolk,6855
2011,9,surrey,9238
2011,9,sussex,14335
2011,9,thames-valley,15845
2011,9,warwickshire,4614
2011,9,west-mercia,11105
2011,9,west-midlands,24013
2011,9,west-yorkshire,23216
2011,9,wiltshire,5525
2011,10,avon-and-somerset,15740
2011,10,bedfordshire,6382
2011,10,btp,4752
2011,10,cambridgeshire,7362
2011,10,cheshire,8908
2011,10,city-of-london,567
2011,10,cleveland,8491
2011,10,cumbria,4808
2011,10,derbyshire,10330
2011,10,devon-and-cornwall,11885
2011,10,dorset,6793
2011,10,durham,6659
